Frequencia,Corrente,PressaoRecalque,PressaoRetaguarda,Setpoint,Rendimento
48.53,69.4,37.424,8.94965,38.2626,0.678911
49.65,70.3,38.8216,8.99306,38.2626,0.675949
48.93,69.6,38.1858,9.37717,38.2626,0.674822
49.02,70.2,37.9058,8.65668,38.2626,0.690659
49.05,70,38.3811,9.12109,38.2626,0.67975
47.26,66.4,36.5365,9.84592,38.2626,0.676134
48.38,68.8,37.6519,9.36415,38.2626,0.683451
49.31,70.1,37.9514,8.26172,38.2626,0.681422
50.27,72.1,38.1576,7.08333,38.2626,0.68084
51.08,73.8,39.1645,7.05512,38.2626,0.677857
50.26,72.2,38.151,7.17882,38.2626,0.677165
50.88,73.7,38.3637,6.81641,38.2626,0.671768
50.03,71.4,37.1853,7.06597,38.2626,0.666904
50.95,73,38.4896,6.45182,38.2626,0.678043
49.37,70.8,37.615,8.00564,38.2265,0.678817
50.86,73.1,37.9948,6.51259,38.2265,0.668019
50.79,72.1,38.0773,6.91406,38.2265,0.666563
51.61,74.8,38.4657,6.07856,38.2265,0.664418
50.85,73.3,38.6372,7.03125,38.2265,0.6764
50.56,71.8,38.7478,7.18099,38.2265,0.68298
50.88,72.6,37.9753,6.36502,38.2265,0.6655
51.09,73.6,38.7977,6.57552,38.2265,0.67405
50.99,74,38.2465,6.55599,38.2265,0.668275
49.69,71,37.589,7.56727,38.2265,0.677717
49.59,70.5,36.4497,6.65365,38.2265,0.674257
50.86,73,37.3307,6.01997,38.2265,0.666306
50.77,73.1,38.7674,7.33507,38.2265,0.655504
50.31,71,37.8711,6.62326,38.2265,0.672917
51.53,74.4,38.3529,5.90495,38.2265,0.665475
51.33,74,38.7565,6.51042,38.2265,0.673611
50.82,73,38.7457,6.8316,38.2265,0.675104
50.46,72.4,37.5781,6.6428,38.2265,0.672013
49.12,69.9,36.6059,7.22222,38.2265,0.674646
50.19,71.5,37.3286,6.51693,38.2265,0.676247
51.13,74,38.1207,6.16536,38.2265,0.67255
51.32,73.9,37.8537,6.20877,38.2265,0.66108
51.65,75.4,37.9753,5.75087,38.2265,0.663768
52.18,76,39.7331,6.22179,38.2265,0.6736
52.18,76.2,39.3533,6.19792,37.408,0.66818
52.16,76,39.7808,6.11111,37.408,0.677879
51.31,73.6,38.9865,6.75347,37.408,0.670897
50.17,71.5,38.1359,7.36545,37.408,0.681365
49.49,70.2,37.5629,7.59115,37.408,0.682527
50.16,71.7,37.7756,7.00955,37.408,0.678182
50.29,72.3,37.5,6.82075,38.2606,0.671072
51.2,73.6,38.2357,6.45616,38.2606,0.672559
49.87,70.9,37.0226,6.90972,38.2606,0.672723
50.3,71.7,37.6519,6.99653,38.2606,0.666444
50.5,72.9,37.5868,6.80556,38.2606,0.66712
51.33,74,38.1641,6.05686,38.2606,0.665883
51.5,74,38.8173,6.47786,38.2606,0.671161
50.99,71.9,43.9301,10.8963,38.2606,0.682488
47.61,67.1,36.9032,9.27734,38.2606,0.682949
47.93,67.6,35.2843,7.43707,38.2606,0.675739
48.27,68.4,35.8247,7.44575,38.2606,0.685351
49.14,69.9,35.9375,6.86849,38.2606,0.675861
50.14,71.7,36.9835,6.42578,38.2245,0.670167
50.88,73,37.3698,6.28255,38.2245,0.663188
51.15,74.2,38.8563,6.64063,38.2245,0.679637
50.76,72.6,38.7391,6.90972,38.2245,0.681662
51.1,73.9,38.1901,6.28689,38.2245,0.669687
49.74,71.2,37.6259,7.24392,38.2245,0.67731
51.4,74.3,38.1185,5.90061,37.111,0.670116
49.73,71.7,37.2114,7.36328,37.111,0.673789
49.02,70.4,36.4865,7.24609,37.111,0.676833
49.16,70.3,36.1762,7.37847,37.111,0.670308
50.14,71.8,36.9141,6.42361,37.111,0.667739
50.68,73.1,38.2834,7.04427,37.111,0.676516
48.95,69.4,36.2543,7.81901,37.111,0.661813
49.81,70.8,37.5955,7.01389,37.111,0.678822
49.56,70.6,37.3372,7.51736,37.111,0.669484
48.11,67.5,36.7036,8.47222,37.111,0.669231
48.8,68.8,36.5148,7.84939,37.111,0.678303
48.78,69.8,37.3003,7.97526,37.111,0.685125
49.25,69.8,37.0725,7.66059,37.111,0.670625
49.17,69.7,36.8815,7.55208,37.111,0.675462
49.15,70,36.5885,7.24175,37.111,0.676273
49.34,70.5,37.2569,7.43924,37.111,0.677507
48.81,69.4,36.0894,7.20703,37.111,0.678371
49.39,70.5,36.4648,6.94227,37.111,0.67239
